state,gun_ownership_rate,deaths_per_100k
AL,17.6,48.9
AK,19.8,61.7
AZ,14.1,32.3
AR,16.8,57.9
CA,7.7,20.1
CO,11.5,34.3
CT,4.4,16.6
DE,10.3,5.2
FL,11.9,32.5
GA,12.6,31.6
HI,2.6,45.1
ID,14.1,56.9
IL,8.6,26.2
IN,13,33.8
IA,8,33.8
KS,11.4,32.2
KY,13.7,42.4
LA,19.3,44.5
ME,10.9,22.6
MD,9.7,20.7
MA,3.1,22.6
MI,12,28.8
MN,7.6,36.7
MS,17.8,42.8
MO,14.4,27.1
MT,16.7,52.3
NE,9,19.8
NV,13.8,37.5
NH,6.4,14.4
NJ,5.7,11.3
NM,15.5,49.9
NY,4.2,10.3
NC,12.1,28.7
ND,11.8,47.9
OH,11,19.6
OK,16.5,31.2
OR,11,26.6
PA,11.2,27.1
RI,5.3,5.8
SC,15.2,44.4
SD,10,35
TN,15.4,39.4
TX,10.6,35.7
UT,12.6,31.9
VT,9.2,28.8
VA,10.2,29.3
WA,8.7,27.7
WV,14.3,54.2
WI,9.7,34.7
WY,16.7,53.8
